input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
where are you?,i'm not sure i know how long it takes,i'm here to see you,what are you doing here?,i've been waiting for you to come back and find me a place where we can meet each other in the next few days,i'm not going anywhere!,original/random_sampling_temp1.0_top10.json_7,clustered/random_sampling_temp0.5.json_3,original/clustering_beam_search_bs10_cbs5.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/random_sampling_temp1.0_top100.json_2,12,are you nervous?,i'm not a?!,i'm not interested in your?,i don't know what you're thinking,i don't know what you're talkin about,i was thinking about you too,original/random_sampling_temp0.5.json_1,original/random_sampling_temp0.5.json_4,original/diverse_beam_search_bs10_dbs0.8.json_7,original/diverse_beam_search_bs10_dbs0.8.json_6,original/random_sampling_temp0.5.json_5,21,"i'm in a wheelchair, the truck sounds pretty good.",i'll get in touch with you later billy good right now,you know what i mean?,i don't know what i'm gonna do,let's get out of here,i'll be right back,original/random_sampling_temp1.0.json_5,clustered/random_sampling_temp0.7.json_2,original/beam_search_bs10_kpercand3.json_8,original/iterative_beam_search_bs5_ibs10.json_1,clustered/iterative_beam_search_bs5_ibs100.json_0,65,what will you do?,i'll be back in a few minutes and you won't have to worry about me any more than anyone else,i'll give you a lift,i'll take care of you,i'll see you in a little while,i'll be back in a few minutes,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/random_sampling_temp0.5.json_2,original/clustering_beam_search_bs10_cbs5.json_3,original/random_sampling_temp0.7.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_3,9,how far have you gotten?,i'm boris's mother and i'm not,it's been a long time,i don't know what you're talkin about,i've never seen anything like it so far away from home since last night you didn't,i don't know what you're talking about,original/random_sampling_temp0.7.json_7,clustered/beam_search_bs100_kpercand3.json_1,original/clustering_beam_search_bs10_cbs5.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/standard_beam_search_bs10.json_2,15
he wants the money.,he's a good friend of yours,he doesn't want to know,i don't want to see him again,i don't want to see him,now i want you to have it,clustered/random_sampling_temp0.7.json_8,clustered/random_sampling_temp1.0_top100.json_4,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/standard_beam_search_bs100_npad0.3.json_9,original/random_sampling_temp0.7.json_5,17,you really got a masters degree?,you're a?!,mentioned an obscene incident withdrawal everyone from london had no ma'a degree,you're not a real cop,what's wrong with you?,have you ever been to yale?,clustered/beam_search_bs100_kpercand3.json_4,original/random_sampling_temp1.0.json_9,original/random_sampling_temp1.0_top10.json_2,clustered/random_sampling_temp0.5.json_0,clustered/random_sampling_temp1.0.json_3,98,shall we unpack it?,i've got a lot of work to do ma'a m but it doesn't matter,and we'll go and get it,i don't think i can,i'll be right back,i don't know what you're talking about,clustered/diverse_beam_search_bs100_dbs0.8.json_5,original/random_sampling_temp0.5.json_8,original/standard_beam_search_bs10.json_4,original/standard_beam_search_bs10_npad0.3.json_1,original/diverse_beam_search_bs10_dbs0.8.json_2,49,my wife wasn't diabetic.,i don't know what you mean,and i'm almost as the fat little boy of yours as i am,she was my daughter's aunt,i'm going to be sick,i've never seen anything like it,original/standard_beam_search_bs10.json_4,original/random_sampling_temp1.0.json_9,clustered/random_sampling_temp1.0.json_4,clustered/random_sampling_temp1.0_top100.json_2,clustered/clustering_beam_search_bs100_cbs5.json_7,42,you know where he lives?,he's in a lot of trouble,he's got a lot of work to do,i've been thinking about that,we're gonna talk to him about it,i've never seen him before,clustered/random_sampling_temp1.0_top100.json_4,clustered/random_sampling_temp1.0_top100.json_6,clustered/random_sampling_temp0.5.json_9,original/random_sampling_temp1.0_top10.json_4,clustered/standard_beam_search_bs100.json_4,39
i just want the job.,i'll take care of that,i don't want any trouble,i'll take care of it myself and make sure you don't get back to new york before 9 00 p m tomorrow morning at 8 30 in case we need any help,i'll take care of it myself and make sure you don't get back to new york,i don't want you to go,original/beam_search_bs10_kpercand3.json_1,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_4,original/standard_beam_search_bs10_npad0.3.json_6,11,what are you crying for?,you're so full of shit,i can't believe i didn't kill my brother,i'm not sure i know anything about that,i'll only be a minute,i'm going to kill you,clustered/random_sampling_temp0.7.json_9,original/random_sampling_temp1.0_top10.json_8,original/random_sampling_temp1.0_top10.json_6,clustered/random_sampling_temp1.0.json_8,clustered/clustering_beam_search_bs100_cbs5.json_9,48,you sure know how to take a lot of punishment.,but i was hoping there might be something to make,i'll tell you what's wrong with the way things aren't going to work out for each other a bit longer than anybody else has ever done,i don't think that's a good idea,let's get out of here,i'll tell you what i'll do,original/random_sampling_temp1.0_top10.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/beam_search_bs100_kpercand3.json_7,original/iterative_beam_search_bs5_ibs10.json_3,original/diverse_beam_search_bs10_dbs0.8.json_3,91,it might be an interesting case.,i'll tell you what i'm gonna do,i don't know what you're saying,oh yeah you think love is a risk,what's the matter with you?,i'll be right back,original/standard_beam_search_bs10.json_9,original/diverse_beam_search_bs10_dbs0.8.json_5,original/random_sampling_temp0.7.json_8,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/random_sampling_temp0.5.json_0,83,there are cables overhead. hang on. it'll clear up.,i'm not going to.!,i want you to take a look at this,that's what i'm saying,both of them have been.,what do you want me to do?,original/random_sampling_temp0.7.json_0,clustered/random_sampling_temp0.5.json_5,original/iterative_beam_search_bs5_ibs10.json_6,clustered/iterative_beam_search_bs5_ibs100.json_9,clustered/clustering_beam_search_bs100_cbs5.json_3,88
they've taken your clothes?,i've never seen them before!,they found the keys to?,i don't know what to say,is that what you want?,don't forget you are a kid,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/random_sampling_temp0.7.json_7,original/standard_beam_search_bs10_npad0.3.json_4,original/iterative_beam_search_bs5_ibs10.json_3,clustered/random_sampling_temp1.0.json_8,16,do you think they'll walk away?,i don't know what they're talking about!,i think they're making a mistake,do you think they'll come back?,no i don't think so,if it weren't for me they're gonna have to kill them,original/standard_beam_search_bs10.json_9,clustered/random_sampling_temp0.7.json_7,clustered/standard_beam_search_bs100.json_9,clustered/clustering_beam_search_bs100_cbs5.json_0,original/random_sampling_temp1.0_top10.json_8,90,"you ain't gettin 'in no trouble, i hope.",that's why i'm sitting here,i'll be right back,i don't know what to say,i don't know what to do,what do you want me to do?,original/random_sampling_temp0.7.json_2,original/clustering_beam_search_bs10_cbs5.json_0,clustered/standard_beam_search_bs100.json_6,clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/clustering_beam_search_bs100_cbs5.json_2,63,"ready to roll, partner?",i want to go to the? and i need to talk to her,i don't know what to say,i'll be back in a second,a lot of people in here have had to be around to work on them before a year,what's going on here?,original/random_sampling_temp1.0_top10.json_8,original/diverse_beam_search_bs10_dbs0.8.json_4,original/clustering_beam_search_bs10_cbs5.json_7,original/random_sampling_temp0.7.json_9,clustered/random_sampling_temp1.0_top100.json_1,50,why would he go to odessa?,he's not going to die,he was not a? odessa,i don't have a choice,i don't know but i don't know what he's talking about,why are it here mr??,clustered/random_sampling_temp0.5.json_4,clustered/random_sampling_temp1.0_top100.json_8,clustered/standard_beam_search_bs100_npad0.3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_6,clustered/random_sampling_temp1.0.json_8,75
fine speech. now what do we do?,we go to the movies and then we get the money,we're not going anywhere,so what do you think?,we're not going anywhere,i've got a good team to attend,original/random_sampling_temp0.5.json_7,clustered/beam_search_bs100_kpercand3.json_8,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/random_sampling_temp0.7.json_2,original/random_sampling_temp0.7.json_7,57,did you call?,i've been waiting for you!,kevin would be here just suddenly,i don't want to talk about it,i didn't know you were here,i didn't know you were here,original/standard_beam_search_bs10_npad0.3.json_7,original/random_sampling_temp1.0.json_1,clustered/beam_search_bs100_kpercand3.json_6,clustered/clustering_beam_search_bs100_cbs5.json_8,clustered/standard_beam_search_bs100.json_8,13,will he be alright?,i'll go with you,i don't know what we can do anymore,do you have to be brave?,he'll be all right,what are you talking about?,original/random_sampling_temp0.5.json_1,clustered/random_sampling_temp1.0.json_5,original/random_sampling_temp0.7.json_7,original/beam_search_bs10_kpercand3.json_0,clustered/random_sampling_temp1.0.json_0,33,are you frightened?,i don't know what to do,what's the matter with you?,i'm in a hurry!,i'm afraid i can't,i've never seen anything like it,original/standard_beam_search_bs10.json_3,clustered/random_sampling_temp1.0_top100.json_1,clustered/random_sampling_temp0.5.json_6,original/diverse_beam_search_bs10_dbs0.8.json_2,original/standard_beam_search_bs10_npad0.3.json_5,22,go ahead to the saloon. but don't get too drunk!,i don't want to go to jail!,i've got to get out of here and make sure nobody else gets hurt or run away again,what's the matter with you?,i've got to get out of here and make sure nobody else gets hurt or run away without saying good bye at least a few minutes,i've got to get out of here,original/clustering_beam_search_bs10_cbs5.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/clustering_beam_search_bs10_cbs5.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_9,original/standard_beam_search_bs10.json_8,56
i'm supposed to speak at their tenth anniversary.,i'll tell you what i can do,i'm sorry i can't,i'll never go home,i don't know what you're talking about,i'll be right back,original/diverse_beam_search_bs10_dbs0.8.json_9,clustered/random_sampling_temp0.7.json_3,original/random_sampling_temp0.5.json_6,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_0,80,well i was right. you are a sentimentalist.,you're not the only one who knows what's going on in your head a few hundred years ago and then suddenly i realized that it wasn't my fault,and i'm not sure i understand,but i'm not going to do it!,i'm sorry to hear that,i don't know what you're talking about,clustered/diverse_beam_search_bs100_dbs0.8.json_8,original/random_sampling_temp0.5.json_7,original/random_sampling_temp1.0_top10.json_4,clustered/standard_beam_search_bs100_npad0.3.json_3,original/diverse_beam_search_bs10_dbs0.8.json_0,61,"look, nobody knows we did it.",i don't know what you're talkin about,you don't have to do that,what's it getting like stalking the government?,i don't want to die with a.,that's why we're here,original/clustering_beam_search_bs10_cbs5.json_6,clustered/clustering_beam_search_bs100_cbs5.json_9,original/random_sampling_temp1.0.json_4,original/random_sampling_temp1.0_top10.json_5,clustered/standard_beam_search_bs100_npad0.3.json_7,68,i might do it wrong.,would you like a drink?,you're not going to do that,that's why i'm here,i'll tell you what,i could have said this was a mistake,original/iterative_beam_search_bs5_ibs10.json_2,original/standard_beam_search_bs10_npad0.3.json_8,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/standard_beam_search_bs100.json_4,original/random_sampling_temp0.7.json_5,28,are you alright?,i have a bad feeling about this,i thought you were gonna do it,i've got to go,i'll be right back,i'm just going to put a little? on you,clustered/random_sampling_temp0.7.json_7,original/random_sampling_temp1.0_top10.json_1,original/beam_search_bs10_kpercand3.json_4,original/standard_beam_search_bs10_npad0.3.json_0,original/random_sampling_temp0.5.json_9,30
now i think we really do understand one another.,i don't think it's a good idea,i don't think we're going to have a problem with this one more than two hours before the end of our lives in new york and los angeles at 8 00,i don't think we're going to have a problem with that in new york,i don't think we have to worry about that,so what do we do?,original/standard_beam_search_bs10.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/diverse_beam_search_bs100_dbs0.8.json_5,original/clustering_beam_search_bs10_cbs5.json_8,clustered/standard_beam_search_bs100_npad0.3.json_2,64,"sorry, am i interrupting?",i don't know what to say,i'm sorry but we're not going to be late for a few days at least until 9 00,i'm not a good?,can't you see i'm busy?,i don't want to talk about it,original/clustering_beam_search_bs10_cbs5.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/random_sampling_temp0.5.json_3,original/iterative_beam_search_bs5_ibs10.json_4,original/clustering_beam_search_bs10_cbs5.json_6,46,how did it go today?,i'll tell you what,let's get out of here,i don't know i don't know,it's been a long time,i don't know what you're talkin about,original/standard_beam_search_bs10.json_0,clustered/iterative_beam_search_bs5_ibs100.json_3,clustered/random_sampling_temp0.7.json_1,original/standard_beam_search_bs10_npad0.3.json_0,original/clustering_beam_search_bs10_cbs5.json_7,53,chief - mind if i take her?,i'll take care of her,what's wrong with her?,i'll take care of it,i've got to go,what are you talking about?,original/diverse_beam_search_bs10_dbs0.8.json_3,original/random_sampling_temp1.0_top10.json_0,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp0.5.json_3,clustered/standard_beam_search_bs100.json_2,55,i like cows.,oh i don't get it,i'm going to be a star,it's not your fault!,i've never seen anything like it,i've got a lot of work to do but it doesn't matter,clustered/random_sampling_temp1.0.json_1,clustered/random_sampling_temp1.0.json_2,clustered/random_sampling_temp1.0_top100.json_6,clustered/standard_beam_search_bs100.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_4,40
when do we go?,i don't know what to say,it's a long time before we go to?,i'll be right there,as soon as we get there,i don't know what to do,clustered/beam_search_bs100_kpercand3.json_6,original/random_sampling_temp0.5.json_9,clustered/random_sampling_temp0.5.json_1,clustered/beam_search_bs100_kpercand3.json_8,original/beam_search_bs10_kpercand3.json_5,32,why are you working today?,i've been waiting for you!,i had to come and find my mama still,what do you want me to do?,i've been waiting for you for a long time now,i don't know what to say,original/clustering_beam_search_bs10_cbs5.json_5,original/random_sampling_temp1.0.json_5,clustered/standard_beam_search_bs100_npad0.3.json_1,original/diverse_beam_search_bs10_dbs0.8.json_9,clustered/standard_beam_search_bs100_npad0.3.json_6,25,"it's happened at last, we've become a limited company.",i'll tell you what,we're not going to,that's why i'm here,i think we should have the same fun,i don't know what's going on,clustered/standard_beam_search_bs100_npad0.3.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_0,original/iterative_beam_search_bs5_ibs10.json_2,original/random_sampling_temp0.5.json_6,original/clustering_beam_search_bs10_cbs5.json_2,84,good luck.,i've been thinking about it,i know how you feel,it's a very good idea,i've never seen anything like it,don't worry about it,clustered/standard_beam_search_bs100.json_9,clustered/random_sampling_temp0.7.json_2,clustered/random_sampling_temp0.7.json_7,clustered/beam_search_bs100_kpercand3.json_9,clustered/standard_beam_search_bs100.json_6,31,i was holding for someone. that wasn't even mine.,that's why i'm here,i don't know what happened,i gave them their address in a few days,i'm not going to hurt you,why didn't you tell me?,original/standard_beam_search_bs10.json_1,clustered/clustering_beam_search_bs100_cbs5.json_4,original/random_sampling_temp0.7.json_6,original/random_sampling_temp0.5.json_2,original/iterative_beam_search_bs5_ibs10.json_1,72
do you really know superman?,i don't know what to say,this is just a video show,i'll tell you what,i know what i'm doing,what are you talking about?,clustered/beam_search_bs100_kpercand3.json_7,clustered/random_sampling_temp1.0.json_3,clustered/beam_search_bs100_kpercand3.json_5,original/random_sampling_temp0.7.json_0,clustered/standard_beam_search_bs100.json_0,52,aren't you coming?,what are you doing here?,i'll be back in a minute,i'll take care of it,i'll be right back,i don't know what you're doing,original/standard_beam_search_bs10_npad0.3.json_0,original/beam_search_bs10_kpercand3.json_3,original/diverse_beam_search_bs10_dbs0.8.json_2,clustered/beam_search_bs100_kpercand3.json_0,original/standard_beam_search_bs10_npad0.3.json_6,4,it's okay.,everybody calls it crazy clockwork dummy,what's the matter with you?,we'll see what we can do,i'll have to get a date,i'll take care of it myself,original/random_sampling_temp1.0.json_5,clustered/iterative_beam_search_bs5_ibs100.json_1,clustered/random_sampling_temp1.0.json_2,original/random_sampling_temp0.5.json_9,original/standard_beam_search_bs10.json_9,0,so what should i wear?,i'll tell you what,what are you talking about?,i'll tell you something,it's none of my business,you know what i mean?,clustered/standard_beam_search_bs100_npad0.3.json_5,clustered/standard_beam_search_bs100.json_0,original/standard_beam_search_bs10_npad0.3.json_1,clustered/random_sampling_temp0.7.json_1,clustered/beam_search_bs100_kpercand3.json_3,20,your ideas never work out.,i don't know what you mean,i don't know what i'm doing,why don't you take a look?,i'll tell you what i'm gonna do,i don't know what to say,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/random_sampling_temp0.5.json_7,original/iterative_beam_search_bs5_ibs10.json_6,original/standard_beam_search_bs10_npad0.3.json_8,original/standard_beam_search_bs10_npad0.3.json_2,54
jesus! are you serious?,do you know who i am?,what the hell's that supposed to mean?,what do you think you're doing?,are you going to be sick?,what are you talking about?,original/iterative_beam_search_bs5_ibs10.json_4,original/random_sampling_temp1.0_top10.json_1,clustered/standard_beam_search_bs100_npad0.3.json_6,original/random_sampling_temp0.7.json_5,clustered/beam_search_bs100_kpercand3.json_0,34,i've lost interest.,i kept a present in all cases if it works,i've never seen anything like this,i'm not happy with my.,i've never seen anything like it,that's why i'm here,original/random_sampling_temp1.0.json_7,original/beam_search_bs10_kpercand3.json_5,original/random_sampling_temp0.7.json_1,clustered/standard_beam_search_bs100.json_7,clustered/clustering_beam_search_bs100_cbs5.json_3,47,he said we're all going to have to go talk to the guy.,he'll be back in a minute,we're not going to let him go,you know what i'm saying?,let's get out of here,we're going to have to talk to him,clustered/standard_beam_search_bs100_npad0.3.json_9,original/clustering_beam_search_bs10_cbs5.json_5,original/diverse_beam_search_bs10_dbs0.8.json_2,original/iterative_beam_search_bs5_ibs10.json_3,original/beam_search_bs10_kpercand3.json_9,99,looking for intelligent life?,that's why i'm here,i've never seen anything like it,that's what i want to talk to you about,i've never seen anything like it,is that what you want?,clustered/clustering_beam_search_bs100_cbs5.json_4,original/standard_beam_search_bs10.json_4,clustered/random_sampling_temp1.0_top100.json_5,original/clustering_beam_search_bs10_cbs5.json_3,clustered/beam_search_bs100_kpercand3.json_4,26,i hope he fell off.,thank god you're here,let go of his head!,you don't have to worry,why didn't you tell me?,i don't know what you're talking about,clustered/iterative_beam_search_bs5_ibs100.json_4,original/random_sampling_temp0.7.json_1,clustered/standard_beam_search_bs100.json_8,clustered/standard_beam_search_bs100.json_3,original/diverse_beam_search_bs10_dbs0.8.json_1,23
the bourbon. the news about ugarte upset me very much.,i'll be right back,i'm sorry to hear that,i'm going to help you,what did we care about the.?,i'm sorry i'm late,clustered/standard_beam_search_bs100.json_1,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp0.7.json_2,clustered/random_sampling_temp1.0.json_7,original/random_sampling_temp0.5.json_0,60,you okay?,if you want to see me it's ok?,i'll be back in a minute,i'll take care of it myself ma'a m you're the only one who knows what's going on in new york this whole thing,you know who i am?,i don't want you to go,original/random_sampling_temp1.0_top10.json_8,original/standard_beam_search_bs10.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/random_sampling_temp1.0_top100.json_3,original/clustering_beam_search_bs10_cbs5.json_7,29,are you sure you even packed it?,i'll go with you,yes i've got it,i don't know what you're talkin about,i don't think so ma'a m,will you come with me?,clustered/random_sampling_temp0.7.json_2,clustered/iterative_beam_search_bs5_ibs100.json_4,original/diverse_beam_search_bs10_dbs0.8.json_8,clustered/random_sampling_temp1.0_top100.json_4,original/iterative_beam_search_bs5_ibs10.json_6,58,why the hell are we wasting time here?!,i don't know about that,what are you talking about?,i know i've been a little surprised,why did they do that?,get out of the way!,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/iterative_beam_search_bs5_ibs100.json_0,original/random_sampling_temp1.0_top10.json_5,clustered/random_sampling_temp1.0_top100.json_5,clustered/beam_search_bs100_kpercand3.json_3,93,this thing's going nowhere.,what are you talking about?,i'm going to take a shower,i don't know what you're talkin about,i don't know about that,i'll be back in a few minutes,original/clustering_beam_search_bs10_cbs5.json_0,clustered/random_sampling_temp0.5.json_7,original/beam_search_bs10_kpercand3.json_8,clustered/standard_beam_search_bs100.json_7,original/clustering_beam_search_bs10_cbs5.json_5,38
does he have the marked bills on him?,he wants to talk to you,that's what i'm talking about,i've never seen him before,no but he's a police officer,i don't know what you're talking about,clustered/random_sampling_temp1.0_top100.json_3,original/iterative_beam_search_bs5_ibs10.json_7,clustered/clustering_beam_search_bs100_cbs5.json_6,original/random_sampling_temp0.5.json_4,original/standard_beam_search_bs10.json_3,69,when do we go?,the? is the only way,you know what i'm saying?,what are we gonna do?,i don't know if i really can,i don't know what to do,clustered/random_sampling_temp0.7.json_9,clustered/random_sampling_temp0.7.json_4,clustered/random_sampling_temp0.7.json_1,clustered/random_sampling_temp0.7.json_8,clustered/random_sampling_temp0.5.json_7,32,what's he get if he wins here?,that's not what i meant,i don't know what he's doing,i'll tell you what,is that what you want?,what's alive isn't it?,clustered/standard_beam_search_bs100_npad0.3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_5,original/beam_search_bs10_kpercand3.json_2,original/iterative_beam_search_bs5_ibs10.json_4,original/random_sampling_temp1.0.json_1,79,are you sure you even packed it?,i'm not going to the theatre,i'll give you a hint,i don't know what you're talking about,let's get out of here,i'm sure it's a very good way to grow a little,original/random_sampling_temp0.5.json_5,clustered/random_sampling_temp1.0_top100.json_6,original/standard_beam_search_bs10.json_0,original/iterative_beam_search_bs5_ibs10.json_1,original/random_sampling_temp0.7.json_8,58,they've taken your clothes?,i don't know what i'm talking about,i don't care what you do,i'll tell you what,where did you find them?,i'll tell you what,original/standard_beam_search_bs10.json_9,clustered/standard_beam_search_bs100.json_9,clustered/beam_search_bs100_kpercand3.json_2,original/iterative_beam_search_bs5_ibs10.json_2,clustered/clustering_beam_search_bs100_cbs5.json_2,16
don't you think you should at least wave?,i don't know what to do,i don't think i can,i don't know what you're talking about,you know perfectly well what you were doing last night,i don't know if i can do it,original/beam_search_bs10_kpercand3.json_5,clustered/random_sampling_temp0.5.json_2,original/clustering_beam_search_bs10_cbs5.json_2,original/random_sampling_temp1.0.json_1,original/clustering_beam_search_bs10_cbs5.json_9,66,what did you just say?,i don't know what you mean,i said i'm sorry!,i don't want to talk about it,i said i'm sorry!,i'll show you!,clustered/standard_beam_search_bs100.json_6,original/beam_search_bs10_kpercand3.json_3,original/clustering_beam_search_bs10_cbs5.json_3,clustered/random_sampling_temp0.5.json_3,clustered/random_sampling_temp0.7.json_4,18,what are you looking to read?,are you crying about you or how many made you smack me?,where is that son of policeman in rome?,our friend is lily dudley's father johnson,it's a?? of a?,i've never seen anything like it,original/random_sampling_temp1.0.json_9,original/random_sampling_temp1.0.json_4,original/random_sampling_temp1.0.json_7,original/random_sampling_temp0.5.json_8,clustered/clustering_beam_search_bs100_cbs5.json_7,95,i might do it wrong.,i don't know what you're talkin about,i'll be right back,i'll take care of it ma'a m,what are you talking about?,what are you talking about?,original/clustering_beam_search_bs10_cbs5.json_4,original/diverse_beam_search_bs10_dbs0.8.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/beam_search_bs100_kpercand3.json_0,clustered/standard_beam_search_bs100_npad0.3.json_0,28,you going to answer it?,i'll tell you what i've got,i'm not going to tell a story,i'll tell you later,i'm in charge of the report,i don't know what you're talking about!,original/random_sampling_temp0.5.json_2,original/random_sampling_temp0.5.json_7,clustered/random_sampling_temp1.0_top100.json_3,clustered/random_sampling_temp0.7.json_9,original/diverse_beam_search_bs10_dbs0.8.json_5,51
i almost thought for a second...,i thought it was the...,i'm not going to tell you how to drive this thing,but i have a feeling that the only problem is i'm not gonna be able to help you with that,would you like a drink?,you're not cheating?,clustered/random_sampling_temp1.0_top100.json_4,original/random_sampling_temp0.5.json_9,original/random_sampling_temp1.0_top10.json_9,clustered/iterative_beam_search_bs5_ibs100.json_2,clustered/random_sampling_temp1.0.json_3,78,i told you the facts! he abandoned us -- those are the facts.,you're the only one who can help me,i'll tell you what i'll do,what the heii do you think you're doing?,thank you very much mr.,the whole court's going to be asking you to leave,original/diverse_beam_search_bs10_dbs0.8.json_5,original/beam_search_bs10_kpercand3.json_6,clustered/random_sampling_temp1.0.json_1,clustered/iterative_beam_search_bs5_ibs100.json_7,original/random_sampling_temp0.7.json_9,97,where's ma?,she got talked about private things,i'll take care of it ma'a m,it's been a beautiful night,i've got to go,i'll be right back ma'a m a few minutes ago you said,original/random_sampling_temp1.0.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_3,clustered/random_sampling_temp1.0.json_4,original/beam_search_bs10_kpercand3.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_5,1,he certainly was not a popular fellow when they planted him.,as a matter of fact i did,i'll see you later,i've never seen him before,i don't know about that,is that what you think?,clustered/beam_search_bs100_kpercand3.json_7,clustered/standard_beam_search_bs100_npad0.3.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_0,clustered/standard_beam_search_bs100.json_4,original/iterative_beam_search_bs5_ibs10.json_3,74,it bit you.,i've never seen anything like it so much more beautiful than any other woman's life in new york and the whole world has gone to a great deal,i'll tell you what,i am the master of mother,i'm sorry but this is the last time you've been here,i'll be right back,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/standard_beam_search_bs100_npad0.3.json_2,original/random_sampling_temp1.0.json_4,original/random_sampling_temp1.0_top10.json_8,clustered/clustering_beam_search_bs100_cbs5.json_1,44
the bourbon. the news about ugarte upset me very much.,i've never seen anything like it so many times before my mother died a few days ago,did you hear what i said?,i don't want to talk about it,i've been waiting for you,i'll tell you what,clustered/diverse_beam_search_bs100_dbs0.8.json_5,original/iterative_beam_search_bs5_ibs10.json_5,clustered/standard_beam_search_bs100.json_8,clustered/random_sampling_temp0.5.json_4,original/standard_beam_search_bs10.json_2,60,so what should i wear?,i'll tell you what's wrong with the way things look at each other every day and then it doesn't matter to me that this whole thing is just a little bit more complicated than,i'll get it for you,i'll tell you what's wrong,i don't know what you're thinking,i don't know what to do,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/random_sampling_temp1.0_top100.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/diverse_beam_search_bs10_dbs0.8.json_7,original/beam_search_bs10_kpercand3.json_3,20,"ready to roll, partner?",you're not a?,i don't know what to do,i've got to get out of here,i don't know what you mean,no regrets but this is gonna save some horn,clustered/random_sampling_temp0.5.json_5,original/standard_beam_search_bs10_npad0.3.json_1,original/standard_beam_search_bs10_npad0.3.json_5,original/beam_search_bs10_kpercand3.json_3,original/random_sampling_temp1.0.json_8,50,how did it go today?,what are you talking about?,i don't know but i don't know what it is,i don't want to talk about it,i don't know what to say,i don't know what you're saying,clustered/clustering_beam_search_bs100_cbs5.json_2,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/standard_beam_search_bs100_npad0.3.json_7,clustered/iterative_beam_search_bs5_ibs100.json_1,original/standard_beam_search_bs10.json_7,53,i just want the job.,i guess they're waiting for me,you're not going anywhere,let's get out of here,is that what you want?,i'm not gonna let you do this,original/random_sampling_temp1.0.json_1,clustered/clustering_beam_search_bs100_cbs5.json_8,original/iterative_beam_search_bs5_ibs10.json_0,original/iterative_beam_search_bs5_ibs10.json_1,original/random_sampling_temp0.5.json_4,11
