input1,sys11,sys12,sys13,sys14,sys15,sysid11,sysid12,sysid13,sysid14,sysid15,sentid1,input2,sys21,sys22,sys23,sys24,sys25,sysid21,sysid22,sysid23,sysid24,sysid25,sentid2,input3,sys31,sys32,sys33,sys34,sys35,sysid31,sysid32,sysid33,sysid34,sysid35,sentid3,input4,sys41,sys42,sys43,sys44,sys45,sysid41,sysid42,sysid43,sysid44,sysid45,sentid4,input5,sys51,sys52,sys53,sys54,sys55,sysid51,sysid52,sysid53,sysid54,sysid55,sentid5
Hi .,I 'm so glad to see you .,Martine Paris Martins .,Uh ...,I 'm sorry .,Yeah .,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/random_sampling_temp1.3.json_6,original/iterative_beam_search_bs5_ibs10.json_4,clustered/clustering_beam_search_bs100_cbs5.json_2,clustered/iterative_beam_search_bs5_ibs100.json_1,148,I cannot believe it ! ! !,"# Trespassing , violating all the sort of person in the world","I don 't know what to believe , but it 's gonna be a lot more complicated than that ... no matter how much",I don 't know .,No !,God !,original/random_sampling_temp1.0.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/beam_search_bs100_kpercand3.json_1,clustered/standard_beam_search_bs100.json_7,clustered/iterative_beam_search_bs5_ibs100.json_3,124,Like go out to eat ?,Come on .,Yes .,Yeah .,Drinking grapes .,Like Meldrick .,clustered/standard_beam_search_bs100.json_9,original/standard_beam_search_bs10_npad0.3.json_0,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/random_sampling_temp1.3.json_5,clustered/random_sampling_temp1.0.json_9,132,I don 't get you,I .,I doubt it .,I get it .,I don 't know what you 're doing .,I don 't know,clustered/standard_beam_search_bs100.json_3,clustered/standard_beam_search_bs100_npad0.3.json_0,original/beam_search_bs10_kpercand3.json_4,original/diverse_beam_search_bs10_dbs0.8.json_9,original/diverse_beam_search_bs10_dbs0.8.json_4,59,what exactly you want to have ?,I did .,"Well , that depends .",I don 't know what you 're thinking .,I don 't know ...,"I don 't know , but i 'm not gonna be able to get a job in New York for two weeks or something like that ... no matter how many times you say it .",clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/random_sampling_temp1.0_top100.json_5,original/beam_search_bs10_kpercand3.json_7,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/diverse_beam_search_bs100_dbs0.8.json_7,130
"OK , I am a little",You 're working on this thing right now .,"Yes , you are .","Yes , you 're a little bit more than 1 0 years old . I 'm not gonna be able",A bit .,"No , no , no .",clustered/random_sampling_temp1.0.json_9,clustered/beam_search_bs100_kpercand3.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_1,clustered/random_sampling_temp0.7.json_3,original/standard_beam_search_bs10.json_8,170,"wow , what happened ?",it fell .,i was hoping the equipment was the same amount hair .,I don 't know .,mr .,it 's wow -,clustered/standard_beam_search_bs100_npad0.3.json_1,clustered/random_sampling_temp1.3.json_0,clustered/iterative_beam_search_bs5_ibs100.json_4,clustered/iterative_beam_search_bs5_ibs100.json_7,original/random_sampling_temp1.0_top10.json_1,121,yes ?,yes .,I have to go .,hello .,I need you !,I 'm sorry .,original/random_sampling_temp1.0.json_7,clustered/standard_beam_search_bs100.json_6,clustered/beam_search_bs100_kpercand3.json_4,original/standard_beam_search_bs10_npad0.3.json_1,original/diverse_beam_search_bs10_dbs0.8.json_1,33,yes tell me,yes .,I want you to tell me why .,tell me .,And it was my idea .,I told you not to tell anyone .,clustered/beam_search_bs100_kpercand3.json_5,original/clustering_beam_search_bs10_cbs5.json_3,clustered/iterative_beam_search_bs5_ibs100.json_2,clustered/random_sampling_temp0.7.json_7,clustered/beam_search_bs100_kpercand3.json_7,12,hey please behave yourself !,I 'm sorry,I 'm sorry .. take your time seriously,I 'm turning against you when you are .,", not so disgusting ,",I 'm sorry .,original/clustering_beam_search_bs10_cbs5.json_1,clustered/random_sampling_temp1.0.json_4,clustered/random_sampling_temp0.7.json_1,original/random_sampling_temp0.7.json_8,original/clustering_beam_search_bs10_cbs5.json_2,7
"You tell me , you said you do not know what happened to you .",I do not know what happened .,I sold this You .,I nothing would not be satisfactory off of you now .,I think you must enjoy your friendship .,I did not know .,original/clustering_beam_search_bs10_cbs5.json_8,original/random_sampling_temp0.7.json_5,clustered/random_sampling_temp1.3.json_7,original/random_sampling_temp0.7.json_6,clustered/beam_search_bs100_kpercand3.json_0,79,nice to meet you wayne,Yeah .,I don 't think so .,Perfect .,Sure .,I don 't know .,original/iterative_beam_search_bs5_ibs10.json_1,original/standard_beam_search_bs10.json_5,clustered/iterative_beam_search_bs5_ibs100.json_4,original/iterative_beam_search_bs5_ibs10.json_8,original/random_sampling_temp1.0_top10.json_1,176,Where is your last name from ?,"No , no !",Oh here .,My name is Where .,It must be one of the Where .,I don 't know .,clustered/standard_beam_search_bs100_npad0.3.json_7,original/standard_beam_search_bs10_npad0.3.json_1,original/beam_search_bs10_kpercand3.json_4,clustered/random_sampling_temp0.7.json_0,original/random_sampling_temp0.7.json_1,61,What do you think about equality in our world ?,"In the future , I don 't think you 've ever just thought about it .",Ay .,I think I most certainly do .,I don 't know what to say .,"Underground engineers ... cost , therefore done at What",original/random_sampling_temp0.7.json_8,clustered/random_sampling_temp1.3.json_5,original/random_sampling_temp1.0.json_2,original/clustering_beam_search_bs10_cbs5.json_5,clustered/random_sampling_temp1.3.json_6,174,Do you have hands ?,Glad you 're here .,"Yeah , I do .","No , I 've got a lot of them .",Uh ...,"Yes , sir .",original/random_sampling_temp1.0.json_8,original/beam_search_bs10_kpercand3.json_7,clustered/random_sampling_temp1.0_top100.json_2,clustered/beam_search_bs100_kpercand3.json_9,original/random_sampling_temp0.7.json_7,143
I see . So where are you from ?,"I 'm from I ,",I don 't know,I I ...,"Florida Presbyterian , uh I I um I Bernard",,original/clustering_beam_search_bs10_cbs5.json_9,original/diverse_beam_search_bs10_dbs0.8.json_5,original/random_sampling_temp0.7.json_0,original/random_sampling_temp1.3.json_2,original/random_sampling_temp1.3.json_1,109,me too,I 'm sorry .,Yes !,okay - bye !,No .,"No , no , no , no , no .",clustered/clustering_beam_search_bs100_cbs5.json_8,clustered/standard_beam_search_bs100_npad0.3.json_5,clustered/random_sampling_temp1.3.json_7,original/standard_beam_search_bs10.json_2,clustered/random_sampling_temp1.0_top100.json_4,26,Sure . What 's your favorite ? I like trouble .,"I 3 I , D ' Argo is the duo behind the Stargate",I ...,"I love you , Sure",I like your style,,clustered/random_sampling_temp1.0.json_0,clustered/clustering_beam_search_bs100_cbs5.json_3,clustered/random_sampling_temp0.7.json_8,original/diverse_beam_search_bs10_dbs0.8.json_7,original/clustering_beam_search_bs10_cbs5.json_3,157,how are you,come on .,it 's okay .,"fine , thanks to you .","I 'm fine , thank you .",drawing hypothesis,clustered/standard_beam_search_bs100.json_8,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/random_sampling_temp1.0_top100.json_2,original/clustering_beam_search_bs10_cbs5.json_6,original/random_sampling_temp1.3.json_3,48,What is you favorite song ?,I love it .,What .,It 's a song .,Oh !,It 's What .,clustered/beam_search_bs100_kpercand3.json_5,original/random_sampling_temp1.0.json_8,original/random_sampling_temp1.0_top10.json_0,original/random_sampling_temp1.3.json_2,original/random_sampling_temp1.0.json_3,47
"no , but very surprised you are still there","yes , I am .",Yes,I 'm very sad .,I saw the other when I was a little kid .,I don 't know .,original/beam_search_bs10_kpercand3.json_4,original/random_sampling_temp0.7.json_4,clustered/random_sampling_temp0.7.json_5,original/standard_beam_search_bs10_npad0.3.json_4,clustered/standard_beam_search_bs100.json_2,182,Agreed . Do you watch sports ?,"Yeah , I do , but I don 't have to .",Sure,"Yes , I do",Sure .,sentencing waits,original/random_sampling_temp1.0_top10.json_4,original/beam_search_bs10_kpercand3.json_4,original/standard_beam_search_bs10.json_9,clustered/random_sampling_temp1.0_top100.json_7,clustered/random_sampling_temp1.3.json_2,126,I was busy,I thought you were busy .,I thought you were busy .,I thought you were busy .,Yeah .,I was waiting for you .,original/clustering_beam_search_bs10_cbs5.json_5,original/beam_search_bs10_kpercand3.json_5,clustered/clustering_beam_search_bs100_cbs5.json_4,clustered/beam_search_bs100_kpercand3.json_2,clustered/clustering_beam_search_bs100_cbs5.json_0,42,I like cake .,I Iove to celebrate .,Guitar .,It 's a delicious cake .,Only ...,I like it !,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/random_sampling_temp1.3.json_2,original/random_sampling_temp1.0_top10.json_4,clustered/random_sampling_temp1.0.json_7,original/clustering_beam_search_bs10_cbs5.json_5,69,i 'm Danny !,i i !,"i 'll get back to you , if you want my money and i 'll give you money .","I don 't know what you 're talking about , but i 'm not going to be a big fan of yours .",go !,You 're doing it !,clustered/random_sampling_temp1.0_top100.json_9,original/random_sampling_temp1.0_top10.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/iterative_beam_search_bs5_ibs10.json_9,original/standard_beam_search_bs10_npad0.3.json_7,144
What is your favorite Tv Show ?,The Monster 's List .,Yeah .,I swear that .,The first show in the first row .,"I don 't know what you 're talking about , but it 's gonna be a lot of fun to play with the kids in New York and live happily ever after",clustered/random_sampling_temp0.7.json_7,clustered/random_sampling_temp1.3.json_4,original/standard_beam_search_bs10_npad0.3.json_6,original/random_sampling_temp1.0_top10.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_6,193,Pizza,parade derrick Blane !,.,", I don 't know what you 're talking about . - l 'm gonna go home",I guess by the time .,Dad is not a felon to fight shit with Dam Tau !,clustered/random_sampling_temp1.3.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_9,original/standard_beam_search_bs10_npad0.3.json_7,original/random_sampling_temp1.0.json_9,77,Super going to the beach this weekend,Thanks .,I don 't know !,Yeah .,No .,I don 't think it 's going to work out .,clustered/iterative_beam_search_bs5_ibs100.json_7,original/clustering_beam_search_bs10_cbs5.json_6,original/iterative_beam_search_bs5_ibs10.json_0,original/iterative_beam_search_bs5_ibs10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_8,3,Wow thank you . That 's nice of you,"Oh , my God .",Come on,"Oh , yeah",Just like that,well I joke can melt half my neck .,clustered/clustering_beam_search_bs100_cbs5.json_7,clustered/clustering_beam_search_bs100_cbs5.json_8,original/standard_beam_search_bs10.json_5,original/iterative_beam_search_bs5_ibs10.json_4,original/random_sampling_temp1.3.json_0,195,you are smart you know,sir .,you are the only one who knows .,you are smart,"You are very clever , you must be smart , you , but the one you want to have your hands on , you can not be smart",give me my dog Arjun made you loose from then !,clustered/random_sampling_temp1.0.json_3,original/clustering_beam_search_bs10_cbs5.json_9,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/random_sampling_temp1.0_top100.json_5,original/random_sampling_temp1.3.json_7,127
Do you have a family ?,"Oh , Gramps .","No , not yet .",I have a daughter .,No ...,"No , no .",original/random_sampling_temp1.3.json_2,original/standard_beam_search_bs10_npad0.3.json_3,original/clustering_beam_search_bs10_cbs5.json_6,clustered/random_sampling_temp0.7.json_3,original/random_sampling_temp1.0_top10.json_2,114,hi my friend how are you doing today ?,you got to do put the puppy in the hole,Evan found Xbox 105 creek last Newgate installed security so blessed,"I 'm fine , thank you very much for coming to visit me i haven 't seen your face",i 'm- tight or i 'm good,very well when we wer e descendants of your mom so 're Mr. Thanos In tout gordon,original/random_sampling_temp1.0.json_2,original/random_sampling_temp1.3.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_1,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp1.0.json_9,81,here ?,You 'll see .,"No , no , no , no .",I 've no idea what you 're talking about .,"I don 't know what you 're talking about , but it 's not a good idea for me to go home and take care of my family in case someone gets hurt or killed by somebody else who knows how much i love him .",Isn 't that what we have .,clustered/random_sampling_temp1.0_top100.json_0,clustered/random_sampling_temp1.0.json_4,original/random_sampling_temp0.7.json_7,clustered/diverse_beam_search_bs100_dbs0.8.json_0,original/random_sampling_temp1.0.json_3,46,What happens ?,Tell me .,I don 't know .,Nothing .,I have no idea .,Not jewish .,clustered/standard_beam_search_bs100.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_6,clustered/beam_search_bs100_kpercand3.json_5,original/beam_search_bs10_kpercand3.json_3,clustered/random_sampling_temp1.3.json_6,147,Knock what off,Trust me .,We owe them to keep them .,We 're going to get you out of here .,Don 't tell me .,"I 'm sorry , but I got to go .",clustered/iterative_beam_search_bs5_ibs100.json_8,original/standard_beam_search_bs10_npad0.3.json_4,original/random_sampling_temp1.0_top10.json_7,clustered/standard_beam_search_bs100_npad0.3.json_2,original/random_sampling_temp0.7.json_6,185
wow thats old .,i love you,"i knew we could do whisky warn Little , Kuala , go slow ...",i love you,"you know , i don 't want to talk about it or not","yes , thank you very much so",original/clustering_beam_search_bs10_cbs5.json_3,clustered/random_sampling_temp1.3.json_8,clustered/beam_search_bs100_kpercand3.json_5,original/diverse_beam_search_bs10_dbs0.8.json_8,original/standard_beam_search_bs10_npad0.3.json_8,117,llaollao,YOU KNOW WHAT I MEAN .,llaollao .,"I DON 'T KNOW WHAT YOU 'RE TALKING ABOUT , BUT THERE 'S NO llaollao",YEAH .,", llaollao .",clustered/beam_search_bs100_kpercand3.json_7,original/random_sampling_temp1.0_top10.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/iterative_beam_search_bs5_ibs100.json_3,original/clustering_beam_search_bs10_cbs5.json_5,31,What about the news ?,Nothing .,"Oh , let me scratch your humps !",The news .,It 's the news .,"I don 't know what you 're talking about ,",original/beam_search_bs10_kpercand3.json_0,original/random_sampling_temp1.3.json_4,original/iterative_beam_search_bs5_ibs10.json_0,clustered/random_sampling_temp0.7.json_2,original/diverse_beam_search_bs10_dbs0.8.json_8,4,what is your name ?,I am what .,My name is what !,what .,"oh , oh , my name ...",I am going after you .,clustered/diverse_beam_search_bs100_dbs0.8.json_7,original/clustering_beam_search_bs10_cbs5.json_9,original/clustering_beam_search_bs10_cbs5.json_0,original/random_sampling_temp1.0.json_9,clustered/standard_beam_search_bs100_npad0.3.json_9,118,hi my friend,you are very nice,nice to meet you .,you don 't have to tell me how many times I 've been doing this for two years,I 'll not !,hello .,original/random_sampling_temp0.7.json_3,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/standard_beam_search_bs100_npad0.3.json_6,clustered/clustering_beam_search_bs100_cbs5.json_0,145
What guy are you referring to ?,I don 't know what you 're talking about !,The What of the Black Sea .,his little shoe like Alex Dharam Birch !,Nobody .,You ...,original/beam_search_bs10_kpercand3.json_9,original/random_sampling_temp1.0_top10.json_5,original/random_sampling_temp1.3.json_3,original/iterative_beam_search_bs5_ibs10.json_8,clustered/random_sampling_temp0.7.json_6,86,what ? you are not my boss,I just wanted to see you .,I am a lieutenant .,he is my boss .,what but a doctor .,a Hardison bill .,clustered/standard_beam_search_bs100_npad0.3.json_2,original/random_sampling_temp0.7.json_8,clustered/beam_search_bs100_kpercand3.json_5,original/random_sampling_temp1.0.json_4,clustered/random_sampling_temp1.3.json_5,22,I would like to talk about movies .,Anna Villa -,of Dealing in farm juniors But anything at all it has dropped wisely .,I don 't know how to talk,I don 't know how to say,Nothing .,clustered/random_sampling_temp1.3.json_7,original/random_sampling_temp1.3.json_6,clustered/diverse_beam_search_bs100_dbs0.8.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_5,clustered/iterative_beam_search_bs5_ibs100.json_8,141,Hello ! How are you !,"Oh , I 'm fine .",Hello .,"Oh , my God .",Come on .,Hello .,original/clustering_beam_search_bs10_cbs5.json_8,clustered/beam_search_bs100_kpercand3.json_2,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/clustering_beam_search_bs100_cbs5.json_3,original/standard_beam_search_bs10_npad0.3.json_6,190,"Ahhh ... well , that seems very true . How are you ?",Ahhh,I 'm fine,"Oh , I 'm fine .",I 'm Ahhh ...,It 's been a nightmare,original/diverse_beam_search_bs10_dbs0.8.json_0,clustered/beam_search_bs100_kpercand3.json_3,clustered/clustering_beam_search_bs100_cbs5.json_9,clustered/random_sampling_temp0.7.json_2,clustered/standard_beam_search_bs100_npad0.3.json_4,164
"blows , haha , i like it",I don 't know .,"blows , yeah .",Come here Corrections evidence found medication infested glass with its blue belt forearm and half magma .,Thank you .,blows !,original/diverse_beam_search_bs10_dbs0.8.json_3,clustered/clustering_beam_search_bs100_cbs5.json_6,clustered/random_sampling_temp1.3.json_0,clustered/random_sampling_temp1.0.json_6,clustered/random_sampling_temp1.0_top100.json_7,155,That 's a mean thing to say .,"That , That .",That !,I guess the That .,I don 't know .,Yeah .,clustered/standard_beam_search_bs100.json_8,original/random_sampling_temp1.0_top10.json_3,original/standard_beam_search_bs10_npad0.3.json_4,original/random_sampling_temp1.0.json_5,original/random_sampling_temp1.3.json_5,160,I have never really been interested,Number Sammy Ours !,Well ...,"I don 't know how to tell you , but it 's a little bit more complicated than that . - l 'm gonna be honest",I would have -,I wanted a- -,clustered/random_sampling_temp1.3.json_3,original/iterative_beam_search_bs5_ibs10.json_3,clustered/diverse_beam_search_bs100_dbs0.8.json_9,original/random_sampling_temp1.0.json_3,clustered/standard_beam_search_bs100_npad0.3.json_7,25,ok. but who is he ?,You have no idea .,"I don 't know , but he 's the one",He knows carefully,He 's a ok. .,He is a drifter who is trying to steal his bride .,original/random_sampling_temp0.7.json_2,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/standard_beam_search_bs10_npad0.3.json_4,original/clustering_beam_search_bs10_cbs5.json_6,clustered/random_sampling_temp0.7.json_4,162,"Wow , mine too .","Oh , my God !",Yeah .,Come on .,Whenever you ever had a roach assortment explains my religious side words ...,"Oh , no , no , no .",original/beam_search_bs10_kpercand3.json_4,clustered/iterative_beam_search_bs5_ibs100.json_0,original/iterative_beam_search_bs5_ibs10.json_3,clustered/random_sampling_temp1.3.json_0,original/standard_beam_search_bs10.json_9,111
"I don 't know , so you tell me",I don 't know what you mean .,I don 't want to .,Of course I have !,Yes sir .,My brother was killed before the bistro .,original/clustering_beam_search_bs10_cbs5.json_8,original/beam_search_bs10_kpercand3.json_7,original/random_sampling_temp1.3.json_6,original/standard_beam_search_bs10_npad0.3.json_0,original/random_sampling_temp1.3.json_1,51,Hello !,I can 't believe it .,"Oh , sorry , honey .",You keep girls half hostage !,"Oh , my God !",Hello !,clustered/clustering_beam_search_bs100_cbs5.json_5,original/random_sampling_temp1.3.json_3,clustered/random_sampling_temp1.3.json_6,clustered/clustering_beam_search_bs100_cbs5.json_7,original/random_sampling_temp1.0_top10.json_1,65,I don 't think so .,Right .,"I don 't think so , I .",look at me .,I I I I,"No , no , no .",clustered/iterative_beam_search_bs5_ibs100.json_1,original/standard_beam_search_bs10.json_9,clustered/beam_search_bs100_kpercand3.json_6,original/random_sampling_temp0.7.json_6,clustered/standard_beam_search_bs100.json_9,37,do you like usher ?,"yeah , I like her .",No .,yes .,Yes .,Not really .,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/clustering_beam_search_bs100_cbs5.json_8,original/standard_beam_search_bs10_npad0.3.json_1,original/iterative_beam_search_bs5_ibs10.json_1,original/iterative_beam_search_bs5_ibs10.json_4,43,"Yes , that 's what I asked . What did I do ?",Look at me .,"neck to heel , talks like Yes tattoos and weary to a Yes , about Luck .","I don 't know what you mean , but how many times did i say that     ","And then he said , l think it 's too much of a story .",I don 't know .,original/iterative_beam_search_bs5_ibs10.json_7,original/random_sampling_temp1.3.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_0,original/random_sampling_temp1.0_top10.json_9,clustered/standard_beam_search_bs100.json_3,50
Do you like to dance ?,"I don 't know what to say , but it 's not a dance .","Oh , you know , I like it .",Yes .,Well ...,I don 't know .,clustered/diverse_beam_search_bs100_dbs0.8.json_8,original/random_sampling_temp1.0_top10.json_1,clustered/standard_beam_search_bs100.json_2,clustered/random_sampling_temp1.0.json_5,original/beam_search_bs10_kpercand3.json_4,92,Is your mom okay ?,She 's fine .,"Yeah , she 's fine .",She 's fine .,Yeah .,"Oh , yeah .",clustered/clustering_beam_search_bs100_cbs5.json_0,clustered/diverse_beam_search_bs100_dbs0.8.json_8,original/standard_beam_search_bs10.json_1,original/random_sampling_temp0.7.json_5,clustered/iterative_beam_search_bs5_ibs100.json_6,102,Do you have a cat ?,"No , I don 't .",No .,Yes .,Sorry .,I have an old Do cat .,original/diverse_beam_search_bs10_dbs0.8.json_1,clustered/beam_search_bs100_kpercand3.json_6,original/beam_search_bs10_kpercand3.json_1,clustered/iterative_beam_search_bs5_ibs100.json_4,original/random_sampling_temp1.0_top10.json_3,119,Okay . I 'm a little bit confused . Let me change the topic . Do you have relatives where we 're going ?,I do not .,No .,I do .,No None .,I don 't have a family,clustered/beam_search_bs100_kpercand3.json_9,clustered/standard_beam_search_bs100.json_4,clustered/clustering_beam_search_bs100_cbs5.json_1,original/standard_beam_search_bs10_npad0.3.json_1,original/clustering_beam_search_bs10_cbs5.json_8,177,There is so much great music out there I don 't blame you .,No one can do it .,S Paulina gets something to use beyond leslie is not after There meat lf vandalism ... victory step camps full is immaterial max yacht 's runway rocking opposite There everything plans destination Mr.,man There really,"No , I don 't know .",No .,original/random_sampling_temp1.0_top10.json_2,original/random_sampling_temp1.3.json_2,clustered/random_sampling_temp1.0.json_6,original/beam_search_bs10_kpercand3.json_7,original/random_sampling_temp1.0_top10.json_0,17
what are you up to ?,i thought you were doing this to me .,i 'm doing my job .,I 'm going to what .,Working .,i 'll call you .,clustered/random_sampling_temp1.0_top100.json_6,original/random_sampling_temp0.7.json_2,original/diverse_beam_search_bs10_dbs0.8.json_5,clustered/iterative_beam_search_bs5_ibs100.json_4,original/random_sampling_temp1.0_top10.json_6,34,what is that,Cannonball so freeloader .,i have a great idea .,I don 't know what to do .,I don 't know what you mean .,tell me .,clustered/random_sampling_temp1.3.json_9,original/random_sampling_temp1.0_top10.json_1,original/diverse_beam_search_bs10_dbs0.8.json_5,original/standard_beam_search_bs10.json_9,clustered/random_sampling_temp1.0.json_6,78,Really well I like Anchovies and Pineapple on my pizza .,It 's delicious !,I don 't know .,No !,Of course .,It hurts me !,clustered/clustering_beam_search_bs100_cbs5.json_5,clustered/clustering_beam_search_bs100_cbs5.json_1,clustered/beam_search_bs100_kpercand3.json_6,clustered/beam_search_bs100_kpercand3.json_4,original/standard_beam_search_bs10_npad0.3.json_5,39,What are you ?,I 'm a friend .,I don 't know what you 're saying .,I 'm a doctor .,I don 't know .,What !,original/clustering_beam_search_bs10_cbs5.json_6,original/standard_beam_search_bs10.json_8,original/random_sampling_temp0.7.json_4,clustered/standard_beam_search_bs100.json_2,original/clustering_beam_search_bs10_cbs5.json_1,113,I just recently tried that game . It was fun .,I don 't know what you 're talking about,I pity you !,"I don 't know what you 're talking about , but it 's not the first time anyone has ever played",Yeah .,"Tony , shunned you plain enough .",clustered/diverse_beam_search_bs100_dbs0.8.json_9,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_7,clustered/beam_search_bs100_kpercand3.json_5,clustered/random_sampling_temp1.3.json_4,173
hi there !,I 'm sorry .,Mom !,I 'm fine .,"I 'm so glad you 're here , buddy .",it 's me .,original/beam_search_bs10_kpercand3.json_3,clustered/iterative_beam_search_bs5_ibs100.json_8,original/random_sampling_temp0.7.json_7,clustered/diverse_beam_search_bs100_dbs0.8.json_4,clustered/iterative_beam_search_bs5_ibs100.json_5,1,why,clearly about eye loss but hate emotions became shallow stab cells,"because I don 't want to be a part of this world anymore , so i 'm gonna take it off and make sure everything goes well",no way !,the waiter was depressed .,for the first time .,clustered/random_sampling_temp1.3.json_8,clustered/diverse_beam_search_bs100_dbs0.8.json_8,clustered/standard_beam_search_bs100_npad0.3.json_0,original/random_sampling_temp1.3.json_9,clustered/standard_beam_search_bs100.json_4,100,Do you know what chess is ?,It 's ...,"Yes , really .","It 's a game of chess which will take place in New York , where you can play",A Do .,It means you 're really not Do .,clustered/random_sampling_temp1.0.json_5,original/random_sampling_temp0.7.json_4,clustered/diverse_beam_search_bs100_dbs0.8.json_3,original/random_sampling_temp0.7.json_8,original/random_sampling_temp0.7.json_1,135,Do you have any hobbies ?,Come on .,Of course I do .,I 'm a vegetarian .,"Yeah , yeah .",Yes .,clustered/beam_search_bs100_kpercand3.json_9,clustered/iterative_beam_search_bs5_ibs100.json_8,original/random_sampling_temp1.0_top10.json_3,clustered/standard_beam_search_bs100_npad0.3.json_3,clustered/random_sampling_temp1.0.json_4,75,i want to eat,you want to eat,delicious,you have to eat .,"well , it 's delicious .",Let 's eat .,clustered/random_sampling_temp1.0_top100.json_2,clustered/random_sampling_temp1.0_top100.json_9,original/clustering_beam_search_bs10_cbs5.json_4,clustered/random_sampling_temp1.0_top100.json_7,clustered/iterative_beam_search_bs5_ibs100.json_2,105
I am interested in watching TV shows . How about you ?,I am the star of I I,I 'll show you .,This is the I film that is in a I film,Come on,I don 't want to talk about it,original/random_sampling_temp1.0_top10.json_8,clustered/standard_beam_search_bs100.json_4,original/random_sampling_temp1.0_top10.json_9,clustered/standard_beam_search_bs100.json_9,clustered/standard_beam_search_bs100.json_3,187,do you really think so ?,"oh , my god .","You 're kidding me ,",I do not know .,"Yes , I do .",Of course .,clustered/standard_beam_search_bs100.json_9,original/standard_beam_search_bs10_npad0.3.json_9,original/random_sampling_temp0.7.json_1,original/beam_search_bs10_kpercand3.json_6,clustered/standard_beam_search_bs100.json_4,53,sir you are a joke,is a joke,I 'm not joking with you,I am staring at him,No .,.,clustered/standard_beam_search_bs100.json_2,original/random_sampling_temp0.7.json_3,clustered/standard_beam_search_bs100_npad0.3.json_4,clustered/iterative_beam_search_bs5_ibs100.json_1,clustered/standard_beam_search_bs100_npad0.3.json_8,83,"ok , what happened to your dad 's mouth",He 's having a conversation .,I don 't know ...,i don 't know .,he 's still a little bit upset with me .,he died in a car accident .,clustered/random_sampling_temp0.7.json_5,original/clustering_beam_search_bs10_cbs5.json_6,original/standard_beam_search_bs10.json_2,original/random_sampling_temp0.7.json_2,clustered/standard_beam_search_bs100.json_9,41,With whom ?,Come on .,With her .,They are With .,With Paul .,I don 't know,original/iterative_beam_search_bs5_ibs10.json_7,original/random_sampling_temp1.0_top10.json_4,clustered/random_sampling_temp1.0.json_7,original/random_sampling_temp1.0.json_7,original/diverse_beam_search_bs10_dbs0.8.json_3,142
